Job Title,Company,Experience Required,Location,Rating,Salary Disclosure,Min Experience,Max Experience,Min Salary,Max Salary
Data Analyst,Shiprocket,2-6 Yrs,New Delhi,3.8,Not Disclosed,2.0,6.0,,
Data Analyst,Diverse Lynx,1-5 Yrs,New Delhi,3.8,Not Disclosed,1.0,5.0,,
Data Analyst,CODERS BRAIN,1-6 Yrs,New Delhi,3.2,Not Disclosed,1.0,6.0,,
Data Analyst,DecisionTree Analytics and Services Private Limited,1-3 Yrs,New Delhi,3.8,Not Disclosed,1.0,3.0,,
Data Analyst,Azmarq,2-4 Yrs,New Delhi,5.0,Not Disclosed,2.0,4.0,,
Data Analyst,Diverse Lynx,3-6 Yrs,New Delhi,3.8,Not Disclosed,3.0,6.0,,
Data Analyst,ANR Software,2-5 Yrs,New Delhi,4.5,Not Disclosed,2.0,5.0,,
Data Analyst,Confidential,3-6 Yrs,New Delhi,Not Rated,Disclosed,3.0,6.0,6.0,7.0
Data Analyst,Stem,3-5 Yrs,New Delhi,3.1,Not Disclosed,3.0,5.0,,
Data Analyst,Confidential,2-4 Yrs,New Delhi,Not Rated,Not Disclosed,2.0,4.0,,
Data Analyst,Confidential,2-5 Yrs,New Delhi,Not Rated,Not Disclosed,2.0,5.0,,
Data Analyst,Ethics Express,3-8 Yrs,New Delhi,4.1,Not Disclosed,3.0,8.0,,
Data Analyst,T&N Business Services,2-5 Yrs,New Delhi,4.7,Not Disclosed,2.0,5.0,,
Data Analyst,Confidential,10-20 Yrs,New Delhi,Not Rated,Not Disclosed,10.0,20.0,,
Data Analyst,Intuitive Apps,6-11 Yrs,New Delhi,4.0,Not Disclosed,6.0,11.0,,
Data Analyst,Confidential,3-8 Yrs,New Delhi,Not Rated,Not Disclosed,3.0,8.0,,
Data Analyst,Boston Consulting Group,0-2 Yrs,New Delhi,3.8,Not Disclosed,0.0,2.0,,
Data Analyst,Confidential,0-1 Yrs,"New Delhi, Pune, Bangalore",Not Rated,Not Disclosed,0.0,1.0,,
Data Analyst,Confidential,,New Delhi,Not Rated,Disclosed,,,,
Data Analyst,Confidential,,"New Delhi, Pune, Bangalore",Not Rated,Disclosed,,,,
Data Analyst,Luminar Technologies,0-4 Yrs,New Delhi,2.5,Not Disclosed,0.0,4.0,,
Data Analyst,Ixigo,1-4 Yrs,New Delhi,3.5,Not Disclosed,1.0,4.0,,
Data Analyst,Miss Highness,1-3 Yrs,,2.7,Disclosed,1.0,3.0,2.0,3.0
Data Analyst,Boston Consulting Group,2-6 Yrs,New Delhi,3.8,Not Disclosed,2.0,6.0,,
Data Analyst,Fedex Express Transportation And Supply Chain Serv Ices (i),4-7 Yrs,"New Delhi, Bangalore",4.0,Not Disclosed,4.0,7.0,,
Data Analyst,Confidential,4-9 Yrs,"New Delhi, Pune, Bangalore",Not Rated,Disclosed,4.0,9.0,7.0,14.0
Data Analyst,Dunnhumby,2-5 Yrs,New Delhi,4.0,Not Disclosed,2.0,5.0,,
Data Analyst,Max Healthcare,5-9 Yrs,New Delhi,4.1,Not Disclosed,5.0,9.0,,
Data Analyst,Varuna Integrated Logistics,3-8 Yrs,New Delhi,3.8,Not Disclosed,3.0,8.0,,
Data Analyst,Adobe,5-10 Yrs,New Delhi,3.9,Not Disclosed,5.0,10.0,,
Data Analyst,Capco,4-8 Yrs,"New Delhi, Pune, Bangalore",3.7,Not Disclosed,4.0,8.0,,
Data Analyst,Capco,8-12 Yrs,"New Delhi, Pune, Bangalore",3.7,Not Disclosed,8.0,12.0,,
Data Analyst,Confidential,4-8 Yrs,New Delhi,Not Rated,Not Disclosed,4.0,8.0,,
Data Analyst,UKG,5-9 Yrs,New Delhi,3.1,Not Disclosed,5.0,9.0,,
Data Analyst,FCS Software Solutions,7-12 Yrs,Remote,3.6,Not Disclosed,7.0,12.0,,
Data Analyst,Confidential,5-7 Yrs,New Delhi,Not Rated,Not Disclosed,5.0,7.0,,
Data Analyst,AUM Dacro Coatings,,New Delhi,3.9,Disclosed,,,,
Data Analyst,Confidential,,Remote,Not Rated,Disclosed,,,,
Data Analyst,Confidential,0-2 Yrs,New Delhi,Not Rated,Disclosed,0.0,2.0,4.5,5.0
Data Analyst,Confidential,0-2 Yrs,New Delhi,Not Rated,Not Disclosed,0.0,2.0,,
Data Analyst,Ecom Express,3-5 Yrs,New Delhi,3.9,Not Disclosed,3.0,5.0,,
Data Analyst,Eurofins Assurance,2-5 Yrs,,3.4,Not Disclosed,2.0,5.0,,
Data Analyst,Photon,2-6 Yrs,"New Delhi, Pune, Bangalore",4.0,Not Disclosed,2.0,6.0,,
Data Analyst,Orange Business Services,5-10 Yrs,New Delhi,4.3,Disclosed,5.0,10.0,18.0,22.5
Data Analyst,Macmillan Publishers India Pvt Ltd.,7-9 Yrs,"New Delhi, Bangalore",3.7,Disclosed,7.0,9.0,25.0,30.0
Data Analyst,GreyOrange,3-5 Yrs,New Delhi,3.2,Not Disclosed,3.0,5.0,,
Data Analyst,Fort Technologies,2-5 Yrs,"New Delhi, Pune, Bangalore",4.7,Not Disclosed,2.0,5.0,,
Data Analyst,Clinicmind,3-4 Yrs,New Delhi,3.6,Not Disclosed,3.0,4.0,,
Data Analyst,Clinicmind,3-4 Yrs,New Delhi,3.6,Not Disclosed,3.0,4.0,,
Data Analyst,Clinicmind,3-4 Yrs,New Delhi,3.6,Not Disclosed,3.0,4.0,,
Data Analyst,Avantor,5-10 Yrs,New Delhi,3.6,Not Disclosed,5.0,10.0,,
Data Analyst,Capco,4-8 Yrs,"New Delhi, Pune, Bangalore",3.7,Not Disclosed,4.0,8.0,,
Data Analyst,Capco,7-8 Yrs,"New Delhi, Pune, Bangalore",3.7,Not Disclosed,7.0,8.0,,
Data Analyst,Avantor,5-10 Yrs,New Delhi,3.6,Not Disclosed,5.0,10.0,,
Data Analyst,Innovaccer,4-9 Yrs,New Delhi,3.5,Not Disclosed,4.0,9.0,,
Data Analyst,Confidential,8-10 Yrs,"New Delhi, Bangalore",Not Rated,Not Disclosed,8.0,10.0,,
Data Analyst,Peroptyx,0-5 Yrs,Remote,3.0,Disclosed,0.0,5.0,,
Data Analyst,Global Survey,0-1 Yrs,New Delhi,5.0,Not Disclosed,0.0,1.0,,
Data Analyst,Global Survey,0-3 Yrs,New Delhi,5.0,Not Disclosed,0.0,3.0,,
Data Analyst,Spyne,0-2 Yrs,New Delhi,3.7,Not Disclosed,0.0,2.0,,
Data Analyst,Career Ambitious,0-2 Yrs,New Delhi,5.0,Not Disclosed,0.0,2.0,,
Data Analyst,Scaleupally,0-2 Yrs,New Delhi,4.1,Not Disclosed,0.0,2.0,,
Data Analyst,Confidential,0-5 Yrs,New Delhi,Not Rated,Not Disclosed,0.0,5.0,,
Market Risk Average Daily Traded Volume Data Analysis - Associate,JPMorgan Chase Bank,3-6 Yrs,"New Delhi, Pune, Bangalore",4.0,Not Disclosed,3.0,6.0,,
Jr . BUSINESS DATA ANALYST,Nsight Consulting,,New Delhi,3.0,Disclosed,,,,
Data Analyst,Sleek Tech,1-4 Yrs,"New Delhi, Pune, Bangalore",4.5,Not Disclosed,1.0,4.0,,
Data Analyst,Boston Consulting Group,1-4 Yrs,New Delhi,3.8,Not Disclosed,1.0,4.0,,
Data Analyst,Schneider Electric,3-7 Yrs,"New Delhi, Pune, Bangalore",4.2,Not Disclosed,3.0,7.0,,
Data Analyst,Confidential,2-3 Yrs,New Delhi,Not Rated,Not Disclosed,2.0,3.0,,
Data Analyst,Vericle,3-4 Yrs,New Delhi,1.6,Not Disclosed,3.0,4.0,,
Data Analyst,Vericle,3-4 Yrs,New Delhi,1.6,Not Disclosed,3.0,4.0,,
Data Analyst,Vericle,3-4 Yrs,New Delhi,1.6,Not Disclosed,3.0,4.0,,
Data Analyst,Eurofins,3-6 Yrs,,3.3,Not Disclosed,3.0,6.0,,
Data Analyst,Confidential,3-6 Yrs,,Not Rated,Not Disclosed,3.0,6.0,,
BUSINESS DATA ANALYST,Nsight Consulting,3-4 Yrs,New Delhi,3.0,Not Disclosed,3.0,4.0,,
Data Analyst,Intellect,3-6 Yrs,New Delhi,4.5,Not Disclosed,3.0,6.0,,
Data Analyst,Wipro,2-7 Yrs,New Delhi,3.7,Disclosed,2.0,7.0,4.5,9.5
Data Analyst,HCLTech,4-5 Yrs,New Delhi,3.5,Disclosed,4.0,5.0,7.0,9.0
Data Analyst,Gartner,2-6 Yrs,New Delhi,4.2,Not Disclosed,2.0,6.0,,
Data Analyst,Srijan,1-5 Yrs,New Delhi,3.5,Not Disclosed,1.0,5.0,,
Data Analyst,Pepsico,10-14 Yrs,New Delhi,4.1,Not Disclosed,10.0,14.0,,
Data Analyst,Groundtruth,2-7 Yrs,"New Delhi, Pune, Bangalore",3.4,Not Disclosed,2.0,7.0,,
Data Analyst,Confidential,2-4 Yrs,New Delhi,Not Rated,Not Disclosed,2.0,4.0,,
Data Analyst,Navedas,1-6 Yrs,"New Delhi, Pune, Bangalore",3.7,Not Disclosed,1.0,6.0,,
Data Analyst,PVH,4-6 Yrs,"New Delhi, Pune, Bangalore",4.3,Not Disclosed,4.0,6.0,,
Data Analyst,RSM US in India,3-5 Yrs,"New Delhi, Bangalore",3.3,Not Disclosed,3.0,5.0,,
Data Analyst,Confidential,3-6 Yrs,"New Delhi, Pune, Bangalore",Not Rated,Not Disclosed,3.0,6.0,,
Data Analyst,Confidential,5-10 Yrs,"New Delhi, Bangalore",Not Rated,Not Disclosed,5.0,10.0,,
Data Analyst,Confidential,5-10 Yrs,New Delhi,Not Rated,Disclosed,5.0,10.0,19.0,25.0
